csvfile,Ensembl,Ensembl_no_version,Expression,logFC,AveExpr,t,P.Value,adj.P.Val,B
Age.csv,ENSG00000276903.2,ENSG00000276903,underexpressed,-0.794151469739797,2.78206610442987,-17.5997032406014,2.8135247140310498e-64,5.0746246717109895e-62,135.418877445123
Age.csv,ENSG00000200169.1,ENSG00000200169,underexpressed,-0.81936739621136,2.82496539684702,-17.5872567803909,3.39710322866882e-64,6.06884403460664e-62,135.232305439745
Age.csv,ENSG00000279530.2,ENSG00000279530,underexpressed,-0.585723483029293,2.27456357406212,-17.5712964845978,4.3253018713783e-64,7.65415212295416e-62,134.995962190256
Age.csv,ENSG00000207624.1,ENSG00000207624,underexpressed,-0.442616079293271,1.84140808058781,-17.5690374041823,4.4756898805191696e-64,7.846260820446601e-62,134.961015402011
Age.csv,ENSG00000199090.1,ENSG00000199090,underexpressed,-0.479197795531001,1.85665258272131,-17.565733263105,4.70508861747066e-64,8.17204187838098e-62,134.910161725762
Age.csv,ENSG00000252164.1,ENSG00000252164,underexpressed,-0.520792282612622,2.18645838981799,-17.5550154197857,5.53302737279196e-64,9.52188325310381e-62,134.751834887541
Age.csv,ENSG00000201448.1,ENSG00000201448,underexpressed,-0.591616386793437,2.38206433595866,-17.5469769743514,6.24797741593914e-64,1.0654505488016902e-61,134.629936423187
Age.csv,ENSG00000221265.1,ENSG00000221265,underexpressed,-0.586229844981521,2.26012911717643,-17.5428994189439,6.6451407322732e-64,1.12296891762145e-61,134.569557981399
Age.csv,ENSG00000224855.5,ENSG00000224855,underexpressed,-0.430310667097214,1.94409470127365,-17.5204653639328,9.32567562560183e-64,1.5618841373664202e-61,134.232213157506
Age.csv,ENSG00000256325.1,ENSG00000256325,underexpressed,-0.483554489948542,2.13221381589822,-17.507344183395,1.1368370891848701e-63,1.88714956804689e-61,134.036718146607
Age.csv,ENSG00000100348.10,ENSG00000100348,overexpressed,0.333755528712104,6.47478358898902,17.498165885161,1.3056919130383e-63,2.1484358688396902e-61,133.871873463493
Age.csv,ENSG00000202514.1,ENSG00000202514,underexpressed,-0.58334365956645,2.30008822729658,-17.4788011372559,1.74846950583404e-63,2.8519818252552103e-61,133.607881284029
Age.csv,ENSG00000238728.1,ENSG00000238728,underexpressed,-0.570385017994084,2.46304974832292,-17.450739494846,2.6684105053871e-63,4.31500381552165e-61,133.185846782095
Age.csv,ENSG00000287080.2,ENSG00000287080,underexpressed,-0.968368291171545,3.17927698183711,-17.4408103330037,3.0985908200257103e-63,4.96780911128567e-61,133.034404454769
Age.csv,ENSG00000269967.1,ENSG00000269967,underexpressed,-0.442558302153471,2.15535230027224,-17.4307392502764,3.60559283248524e-63,5.7316703687930704e-61,132.889955713984
Age.csv,ENSG00000281469.1,ENSG00000281469,underexpressed,-0.416121891901386,2.19150885249734,-17.4289807297114,3.70224766740504e-63,5.835862331528041e-61,132.863671727153
Age.csv,ENSG00000207563.1,ENSG00000207563,underexpressed,-0.620990740286586,2.85176723047878,-17.4266696033639,3.83321594658469e-63,5.9919553938363104e-61,132.82235760542
Age.csv,ENSG00000273882.1,ENSG00000273882,underexpressed,-0.502279847227317,1.97632621889256,-17.421569362284,4.13881868762452e-63,6.41619511921163e-61,132.752606776106
Age.csv,ENSG00000270421.1,ENSG00000270421,underexpressed,-0.536843415148386,2.05000031146437,-17.3938306699274,6.279636533537599e-63,9.655198532467081e-61,132.338795128498
Age.csv,ENSG00000207036.1,ENSG00000207036,underexpressed,-0.599839801383706,2.24436030088358,-17.3679990047119,9.25463677743844e-63,1.41136972903407e-60,131.952006449315
Age.csv,ENSG00000211868.1,ENSG00000211868,underexpressed,-0.589434346809887,2.17524703386258,-17.3615815712889,1.01899925202421e-62,1.54148290076372e-60,131.856759842292
Age.csv,ENSG00000272533.1,ENSG00000272533,underexpressed,-0.903781695337136,3.51935185387362,-17.3577802858703,1.07879004388839e-62,1.61887549146067e-60,131.791558871428
Age.csv,ENSG00000274210.1,ENSG00000274210,underexpressed,-0.823564418065749,3.27110550156189,-17.3511780524646,1.19106987387865e-62,1.77318164239807e-60,131.693559364327
Age.csv,ENSG00000252474.1,ENSG00000252474,underexpressed,-0.528646316990698,2.21231465488783,-17.329229309348,1.6550268462456099e-62,2.4444876836122103e-60,131.375291888781
Age.csv,ENSG00000181722.17,ENSG00000181722,underexpressed,-0.539709957527126,2.27308999848384,-17.3174454501152,1.97448824025682e-62,2.8935508133388504e-60,131.199868576198
Age.csv,ENSG00000197153.5,ENSG00000197153,underexpressed,-0.567448836112584,2.20828320475472,-17.3106509932429,2.18591317462545e-62,3.17855498679257e-60,131.096982420383
Age.csv,ENSG00000253043.1,ENSG00000253043,underexpressed,-0.463409216656371,1.97501753097927,-17.3056605137482,2.3554488085991298e-62,3.39873144243866e-60,131.02543945592
Age.csv,ENSG00000270585.1,ENSG00000270585,underexpressed,-0.483047401693342,2.07108677219421,-17.286664440137,3.12965754039393e-62,4.4813829116571905e-60,130.743147786503
Age.csv,ENSG00000201047.1,ENSG00000201047,underexpressed,-0.400657735085381,1.58476834918489,-17.2829371994474,3.30904285664407e-62,4.70235044734314e-60,130.680055192
Age.csv,ENSG00000206651.1,ENSG00000206651,underexpressed,-0.4937518204767,2.20788930287586,-17.2665960146208,4.2245614195569695e-62,5.95821978256012e-60,130.444584936743
Age.csv,ENSG00000276368.2,ENSG00000276368,underexpressed,-0.842514645587022,2.85576449695871,-17.2323030019294,7.04954581528606e-62,9.868311970383271e-60,129.928397534665
Age.csv,ENSG00000206838.1,ENSG00000206838,underexpressed,-0.61231131935058,3.16899104535869,-17.1944782194837,1.23900798122324e-61,1.72157864531745e-59,129.360393868542
Age.csv,ENSG00000235777.1,ENSG00000235777,underexpressed,-0.46743730625527,1.8486474498602,-17.1895304432996,1.33377312839922e-61,1.83962620165533e-59,129.302376419804
Age.csv,ENSG00000136938.9,ENSG00000136938,overexpressed,0.419480543070356,7.20614616263382,17.1856425823471,1.4132806916412901e-61,1.9350597966282701e-59,129.218116228678
